0.005,0.035,0.249,1.397,3.707,4.775,4.968,4.996,4.999
0.005,0.039,0.276,1.508,3.807,4.797,4.971,4.996,4.999
0.006,0.041,0.29,1.563,3.853,4.806,4.973,4.996,5
0.006,0.04,0.284,1.541,3.835,4.803,4.972,4.996,4.999
0.007,0.049,0.343,1.763,4.005,4.837,4.977,4.997,5
0.005,0.034,0.244,1.373,3.684,4.769,4.967,4.996,4.999
0.005,0.04,0.281,1.529,3.825,4.8,4.972,4.996,4.999
0.004,0.031,0.223,1.283,3.592,4.748,4.964,4.995,4.999
0.003,0.025,0.18,1.082,3.356,4.689,4.956,4.994,4.999
0.003,0.02,0.146,0.908,3.106,4.619,4.945,4.992,4.999
0.003,0.021,0.154,0.951,3.172,4.638,4.948,4.993,4.999
0.003,0.024,0.169,1.029,3.284,4.67,4.953,4.994,4.999
0.004,0.033,0.233,1.326,3.637,4.759,4.966,4.995,4.999
0.004,0.026,0.185,1.105,3.385,4.697,4.957,4.994,4.999
0.004,0.029,0.209,1.217,3.52,4.731,4.962,4.995,4.999
0.006,0.042,0.293,1.577,3.865,4.809,4.973,4.996,5
0.007,0.05,0.349,1.782,4.018,4.84,4.978,4.997,5
0.008,0.062,0.422,2.026,4.171,4.869,4.982,4.998,5
0.009,0.064,0.435,2.066,4.194,4.873,4.982,4.998,5
0.009,0.064,0.435,2.065,4.193,4.873,4.982,4.998,5
0.009,0.062,0.427,2.042,4.181,4.871,4.982,4.998,5
0.009,0.062,0.428,2.043,4.181,4.871,4.982,4.998,5
0.008,0.06,0.409,1.985,4.147,4.865,4.981,4.997,5
0.01,0.073,0.495,2.241,4.286,4.89,4.985,4.998,5
0.009,0.066,0.449,2.107,4.216,4.877,4.983,4.998,5
0.008,0.058,0.397,1.947,4.125,4.86,4.981,4.997,5
0.01,0.072,0.489,2.224,4.277,4.888,4.985,4.998,5
0.008,0.055,0.382,1.898,4.095,4.855,4.98,4.997,5
0.007,0.055,0.378,1.885,4.086,4.853,4.98,4.997,5
0.007,0.048,0.333,1.726,3.979,4.832,4.977,4.997,5
0.007,0.05,0.348,1.78,4.017,4.84,4.978,4.997,5
0.007,0.053,0.369,1.853,4.066,4.849,4.979,4.997,5
0.006,0.044,0.306,1.626,3.904,4.817,4.974,4.997,5
0.008,0.056,0.387,1.914,4.104,4.857,4.98,4.997,5
0.01,0.07,0.477,2.189,4.26,4.885,4.984,4.998,5
0.009,0.064,0.435,2.066,4.194,4.873,4.982,4.998,5
0.008,0.057,0.392,1.929,4.114,4.858,4.98,4.997,5
0.006,0.043,0.3,1.601,3.884,4.813,4.974,4.996,5
0.004,0.03,0.216,1.252,3.559,4.74,4.963,4.995,4.999
0.004,0.027,0.191,1.135,3.422,4.706,4.958,4.994,4.999
0.003,0.021,0.15,0.93,3.14,4.629,4.946,4.993,4.999
0.002,0.016,0.114,0.737,2.805,4.521,4.929,4.99,4.999
0.002,0.013,0.096,0.629,2.577,4.436,4.915,4.988,4.998
0.002,0.014,0.102,0.665,2.655,4.466,4.92,4.989,4.999
0.002,0.015,0.105,0.687,2.703,4.484,4.923,4.989,4.999
0.002,0.018,0.132,0.833,2.982,4.58,4.939,4.992,4.999
0.002,0.015,0.106,0.689,2.707,4.486,4.924,4.99,4.999
0.002,0.016,0.116,0.748,2.827,4.529,4.931,4.99,4.999
0.002,0.017,0.12,0.769,2.867,4.543,4.933,4.991,4.999
0.003,0.019,0.135,0.853,3.015,4.591,4.94,4.992,4.999
0.002,0.018,0.13,0.821,2.961,4.574,4.938,4.991,4.999
0.002,0.014,0.103,0.673,2.674,4.473,4.922,4.989,4.999
0.002,0.014,0.104,0.678,2.685,4.478,4.922,4.989,4.999
