1 22274 22274
11 25001 24991
720 25001 24282
1445 25001 23557
3263 25001 21739
3969 25001 21033
4743 25001 20259
5065 6524 1460
5130 21758 16629
5706 6489 784
6612 7867 1256
7356 7863 508
7516 7854 339
7612 25001 17390
7858 25001 17144
7910 25001 17092
8191 12191 4001
8327 8495 169
8605 25001 16397
8644 25001 16358
9037 25001 15965
9072 9353 282
9145 25001 15857
10237 10637 401
11365 25001 13637
12489 25001 12513
12543 12691 149
12669 25001 12333
13608 25001 11394
13826 25001 11176
13909 25001 11093
15074 15850 777
15369 15850 482
15438 21173 5736
15824 15839 16
16081 16129 49
16283 25001 8719
16719 25001 8283
17085 25001 7917
17195 18739 1545
17271 17414 144
18110 25001 6892
18115 18198 84
18340 25001 6662
19002 25001 6000
19090 25001 5912
19155 25001 5847
19367 20059 693
19785 25001 5217
20064 22439 2376
20302 25001 4700
20546 22256 1711
20594 21230 637
20801 25001 4201
21078 25001 3924
21218 25001 3784
21605 25001 3397
21694 21739 46
21707 22615 909
21842 25001 3160
21998 22069 72
22199 25001 2803
22332 23852 1521
22473 25001 2529
23028 25001 1974
23310 23594 285
23353 24765 1413
23489 25001 1513
23686 24269 584
23884 24751 868
23935 24087 153
24088 25001 914
24100 24759 660
24290 25001 712
24617 25001 385
24635 24696 62
24755 25001 247
24808 25001 194
